Run,EventID,RA [deg],Dec [deg],RA_50_min [deg],RA_50_max [deg],Dec_50_min [deg],Dec_50_max [deg],RA_90_min [deg],RA_90_max [deg],Dec_90_min [deg],Dec_90_max [deg],Contour Area (50%) [sqdeg],Contour Area (90%) [sqdeg]
137840,57034692,345.81,9.22,0.26,0.37,0.23,0.25,0.26,0.37,0.23,0.25,0.22762345167221554,0.7345878604002641
137910,29871391,49.88,21.54,0.83,0.73,0.63,0.87,0.83,0.73,0.63,0.87,1.6785764464482518,5.3471084416758075
137932,1791376,16.79,36.42,0.80,0.87,0.93,0.94,0.80,0.87,0.93,0.94,1.9196219209667493,6.805006342269647
137971,11526243,319.13,2.87,0.49,0.49,0.45,0.54,0.49,0.49,0.45,0.54,0.737757041272096,2.6236802684392373
138005,24780443,66.80,24.67,0.93,0.88,0.68,0.83,0.93,0.88,0.68,0.83,1.8965363736464158,7.379658014918862
138125,11333473,268.95,-2.13,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.12509639174919365,0.4122057508595788
138125,29513102,128.23,21.58,0.95,0.88,1.10,1.06,0.95,0.88,1.10,1.06,2.868568238213555,9.509222704133933
138131,35302784,271.32,8.73,0.29,0.34,0.39,0.39,0.29,0.34,0.39,0.39,0.38258442989796404,1.3073248879592547
138181,66037171,33.22,-2.13,0.53,0.52,0.26,0.24,0.53,0.52,0.26,0.24,0.41746623287895085,1.1832468377387957
138198,44334860,33.27,7.48,0.26,0.26,0.24,0.28,0.26,0.26,0.24,0.28,0.21136293792019106,0.7087996985910342
138354,45413430,164.27,32.40,0.41,0.39,0.36,0.39,0.41,0.39,0.36,0.39,0.3959931059948517,1.3234142428197992
138415,56188508,144.49,24.34,0.35,0.42,0.44,0.32,0.35,0.42,0.44,0.32,0.40082430071041303,1.2898727903212344
138449,20481611,296.10,0.78,0.78,0.79,1.30,0.62,0.78,0.79,1.30,0.62,2.2722571359222696,7.673591791951345
138487,60138479,267.85,47.90,1.11,1.14,1.11,1.22,1.11,1.14,1.11,1.22,2.8027989400204545,9.035023222220948
138515,8773328,106.40,48.34,0.69,0.80,0.52,0.56,0.69,0.80,0.52,0.56,0.8441426670061987,2.8103332966092918
138632,31747601,138.65,0.15,0.29,0.25,0.34,0.33,0.29,0.25,0.34,0.33,0.2810111417367902,0.9628011036389011
138669,4054005,312.36,10.01,0.31,0.29,0.25,0.27,0.31,0.29,0.25,0.27,0.24436160918248928,0.8237095740850668
138821,46175426,72.95,11.38,0.25,0.31,0.23,0.26,0.25,0.31,0.23,0.26,0.20994951171076523,0.7119403505598682
138890,34080563,357.63,4.37,0.28,0.24,0.25,0.27,0.28,0.24,0.25,0.27,0.21126539245616008,0.7291830444985755
139100,34742349,238.97,39.45,1.86,1.56,1.56,1.77,1.86,1.56,1.56,1.77,6.684332944822957,22.991937840680993
139204,39158985,25.40,7.75,0.26,0.27,0.29,0.32,0.26,0.27,0.29,0.32,0.2515258668574662,0.830584380301107
139205,9784024,89.03,1.53,0.26,0.31,0.35,0.34,0.26,0.31,0.35,0.34,0.30071891887017893,1.0049701958090895
139279,10803235,102.70,6.88,0.49,0.47,0.41,0.45,0.49,0.47,0.41,0.45,0.6302195226195626,2.167283792687613
139303,27647445,73.04,1.60,0.88,0.87,0.37,0.32,0.88,0.87,0.37,0.32,0.942328347868019,3.321105663339748
139674,30853199,354.95,22.59,0.28,0.28,0.27,0.30,0.28,0.28,0.27,0.30,0.2290630968294759,0.7501323910853964
138938,62272876,348.57,10.62,0.30,0.27,0.42,0.40,0.30,0.27,0.42,0.40,0.35356111453997047,1.2186196381966372
139315,50057906,325.99,2.65,0.72,0.52,0.48,0.44,0.72,0.52,0.48,0.44,0.878736041655428,2.94829003121915
139685,1723093,60.85,48.92,0.49,0.51,0.41,0.37,0.49,0.51,0.41,0.37,0.39379902297717234,1.3312880397282394
139735,13003768,55.99,33.11,0.57,0.54,0.47,0.38,0.57,0.54,0.47,0.38,0.5422041088227039,1.8426898287342857
139912,46959751,180.57,18.92,0.37,0.32,0.32,0.29,0.37,0.32,0.32,0.29,0.3056876930087142,1.0344113127133177
139939,8268246,58.45,8.35,0.45,0.50,0.28,0.26,0.45,0.50,0.28,0.26,0.37678768754064074,1.2874496534873736
140078,30891383,196.17,8.50,0.32,0.32,0.47,0.40,0.32,0.32,0.47,0.40,0.43127378656817694,1.4819899916534032
140125,41215060,164.14,5.38,0.20,0.33,0.32,0.29,0.20,0.33,0.32,0.29,0.23735684984263064,0.8082697937547434
140284,303893,184.97,2.76,0.33,0.27,0.37,0.36,0.33,0.27,0.37,0.36,0.341759025130364,1.1661181126532751
140312,53817657,318.96,-0.93,0.35,0.38,0.27,0.26,0.35,0.38,0.27,0.26,0.2897862637075348,0.893480202361377
140314,61338661,262.71,6.73,0.79,0.53,0.50,0.49,0.79,0.53,0.50,0.49,1.005100289947533,3.395274579814853
,,,,,,,,,,,,,
