RUNID,EVENTID,START,EVENTMJD,ENERGY,FAR,SIGNAL
123662,27529428,"2014-01-03 21:15:30.083,436,294,9 UTC",56660.88576485459,134.7,0.38,0.44
123751,34239163,"2014-01-08 07:23:22.303,219,405,1 UTC",56665.307897028004,169.6,1.69,0.428
123762,72626160,"2014-01-09 12:04:18.007,790,902,7 UTC",56666.50298620128,989.2,0.15,0.934
123867,11659459,"2014-01-14 21:04:09.509,642,075,2 UTC",56671.87788784308,22.1,55.01,0.046
123986,63557286,"2014-01-22 03:32:21.706,431,102,5 UTC",56679.14747345406,141.0,0.31,0.477
123986,77999595,"2014-01-22 04:54:27.057,609,036,3 UTC",56679.20447983344,689.2,125.17,0.001
124136,15174527,"2014-02-03 18:50:35.536,592,675,9 UTC",56691.78513352538,701.4,524.4,0.002
124221,76481548,"2014-02-13 19:25:05.051,920,973,6 UTC",56701.809086249086,150.4,1.65,0.416
124296,49827757,"2014-02-23 22:05:00.411,978,673,9 UTC",56711.92014365716,128.4,1.15,0.447
124340,19400842,"2014-03-07 22:04:49.326,271,328,5 UTC",56723.92001535036,112.3,1.06,0.413
124463,35466777,"2014-03-24 02:08:34.335,530,710,8 UTC",56740.089286290866,112.3,0.69,0.422
124547,66087371,"2014-04-10 02:22:12.572,672,723,9 UTC",56757.098756628155,262.7,0.16,0.634
124569,22040903,"2014-04-11 13:36:08.553,787,321,9 UTC",56758.56676566884,162.1,1.36,0.478
124643,5182926,"2014-04-20 20:37:28.282,834,038,5 UTC",56767.859355125394,168.9,1.2,0.512
124693,33063779,"2014-05-03 22:58:06.198,869,114,5 UTC",56780.957016190616,112.4,0.63,0.421
124829,42577032,"2014-06-03 03:25:09.109,684,622,9 UTC",56811.14246654727,158.4,1.91,0.397
124852,74171655,"2014-06-09 15:16:24.429,518,210,5 UTC",56817.636393860164,482.6,0.27,0.83
124861,32863663,"2014-06-11 04:54:24.352,873,546,4 UTC",56819.20444852863,6419.8,0.15,0.997
124994,15096469,"2014-07-04 07:08:47.794,286,789,4 UTC",56842.29777539684,157.5,0.27,0.52
125001,73159253,"2014-07-05 16:02:55.079,830,254,5 UTC",56843.668693053594,225.1,0.79,0.583
125011,43302321,"2014-07-07 11:59:43.249,272,994,0 UTC",56845.499806125845,172.9,1.19,0.5
125046,64570437,"2014-07-13 13:21:28.376,926,451,3 UTC",56851.55657843665,143.9,1.78,0.415
125071,31397276,"2014-07-21 18:12:43.206,053,521,9 UTC",56859.7588334034,188.2,351.22,0.001
125205,19617837,"2014-08-20 09:04:23.255,702,387,2 UTC",56889.378046941,111.7,4.02,0.284
125338,65606123,"2014-09-23 17:18:23.254,828,185,1 UTC",56923.72110248644,176.3,1.54,0.464
125349,12316485,"2014-09-27 03:51:37.115,263,852,0 UTC",56927.16084624148,188.7,1.3,0.506
125422,26630854,"2014-10-12 18:01:14.945,449,571,6 UTC",56942.75086742418,179.6,1.48,0.461
125544,54236696,"2014-11-10 07:07:19.873,430,198,2 UTC",56971.296757794335,117.4,3.4,0.304
125558,19184163,"2014-11-14 06:09:53.743,831,739,3 UTC",56975.25687203509,113.9,1.71,0.399
125693,21174828,"2014-12-08 16:02:29.697,036,749,9 UTC",56999.66839927126,112.9,2.38,0.35
125709,6405911,"2014-12-10 20:20:47.527,766,263,7 UTC",57001.84777231211,159.5,2.06,0.392
125757,12938244,"2014-12-21 09:50:45.605,381,258,6 UTC",57012.41025006228,144.2,2.43,0.369
125796,16042897,"2015-01-02 19:06:36.876,661,192,8 UTC",57024.79626014654,135.3,3.07,0.335
125800,83097666,"2015-01-04 09:34:31.074,301,169,7 UTC",57026.398970767375,143.4,1.07,0.468
125929,11025256,"2015-01-18 12:13:36.885,319,494,7 UTC",57040.5094546912,162.2,1.92,0.393
125934,55750717,"2015-01-19 08:50:58.363,915,474,5 UTC",57041.368731063834,150.5,2.42,0.367
125940,7449833,"2015-01-20 23:37:54.917,624,140,1 UTC",57042.98466339843,117.8,2.18,0.354
125968,61389842,"2015-01-27 11:33:00.140,709,993,8 UTC",57049.48125162859,315.5,0.43,0.682
125973,80686964,"2015-01-29 05:27:30.695,663,401,0 UTC",57051.22743860722,141.3,2.58,0.355
126082,40384770,"2015-02-24 23:59:26.635,410,856,2 UTC",57077.999613835775,108.9,0.55,0.395
126148,74589372,"2015-03-13 07:41:37.870,059,004,2 UTC",57094.32057719976,110.4,3.43,0.307
