# run evtid TE_ORIG[TeV] evttype
123751 34239163 271.42413282378203 HED
123762 72626160 1239.8354897663203 HED
123867 11659459 140.02065968608773 HED
123986 63557286 34.23298154788504 LED
123986 77999595 error
124136 15174527 145.91556727281417 HED
124221 76481548 28.150661241198897 LED
124296 49827757 27.88556343338503 LED
124340 19400842 42.72686485293234 LED
124463 35466777 21.963233298165605 LED
124547 66087371 101.55518761831384 HED
124569 22040903 19.54244518014585 LED
124643 5182926 43.817343138334586 LED
124693 33063779 23.434055663528245 LED
124829 42577032 40.61370002953972 LED
124852 74171655 130.9043386764194 HED
124861 32863663 4186.430575646125 HED
124994 15096469 94.53739065659971 HED
125001 73159253 62.36172907570755 HED
125011 43302321 34.15170194145654 LED
125046 64570437 36.39911634791202 LED
125071 31397276 343.59272586507905 HED
125205 19617837 40.48193856674966 LED
125338 65606123 52.481651751480605 HED
125349 12316485 74.62233165491004 HED
125422 26630854 54.93181182450898 HED
125544 54236696 61.778405256147394 HED
125558 19184163 21.479318118016362 LED
125693 21174828 45.88389237480553 LED
125709 6405911 29.125507732230265 LED
125757 12938244 37.39796824688944 LED
125796 16042897 41.541647269980736 LED
125800 83097666 53.99269860208969 HED
125929 11025256 40.7302005908927 LED
125934 55750717 30.475311468253206 LED
125940 7449833 31.306994019918978 LED
125968 61389842 69.38190667999368 HED
125973 80686964 80.36800996262868 HED
126082 40384770 4.389154036656639 LED
126148 74589372 35.06971932271597 LED
126308 20883844 20.994181650169246 LED
126370 61611641 270.2556382319744 HED
126405 50771014 23.325174430243283 LED
126423 50123696 28.660991197786952 LED
126456 1581608 76.17020420493455 HED
126456 35956042 37.674138285408745 LED
126514 73786337 23.818566082396515 LED
126515 20091930 55.90600090035134 HED
126620 19175993 115.45133537004011 HED
126703 23477554 2083.5590482631405 HED
126717 29833358 30.144329316968204 LED
126718 53509959 102.67312964790251 HED
126769 62990844 49.08965558797806 LED
126798 67205547 105.7775571853168 HED
126812 38566267 408.86885591735773 HED
126848 8902133 37.83425870357275 LED
126860 17477746 21.908141385811508 LED
126863 14025085 43.078073632683314 LED
126878 30560694 92.13063509860689 HED
126911 6416344 130.65032643847786 HED
126976 9961785 163.88341043960475 HED
126989 59479399 68.94649977413059 HED
127112 69211097 207.17794409389003 HED
127154 9907321 105.09308477138498 HED
127357 17650073 215.13856858928975 HED
127495 54505431 144.2060028442971 HED
127603 48070937 139.61363280909015 HED
127650 18431575 35.36119827605801 LED
127742 55820225 148.76567400405904 HED
127790 45902607 41.653021897529854 LED
127853 67093193 117.4343300268433 HED
127910 25056152 127.9013931395531 HED
128034 69069846 25.027616577317296 LED
128065 17929326 29.99087864393073 LED
128067 65335330 42.78255004709813 LED
128209 54386016 29.27100898491403 LED
128253 44251618 29.47481185458426 LED
128278 49218472 19.633704303914833 LED
128290 6888376 141.63878065123947 HED
128292 15195696 20.431306218412796 LED
128311 26552458 132.67749305507405 HED
128334 9739548 48.21508328503866 LED
128340 58537957 341.92663123060646 HED
128547 14557367 42.317445122719256 LED
128567 21044380 115.91955556265818 HED
128606 54200591 1212.1117818658986 HED
128632 62194858 22.804511921391402 LED
128651 44166050 72.12288020682662 HED
128672 38561326 173.68731026572857 HED
128755 32356079 50.972125373602545 HED
128785 76992952 68.46589359528214 HED
128796 26367207 116.79558586059126 HED
128906 80127519 95.33340249307595 HED
128967 17750653 66.85167798530084 HED
129020 20626582 44.03780748825074 LED
129144 66284903 53.160643121930136 HED
129153 11436007 161.40467695366425 HED
129154 45298080 56.24054630199429 HED
129232 51118868 59.536088597151895 HED
129267 34234803 50.17542906815876 HED
129307 80305071 209.48915432191995 HED
129420 59928529 143.74607175670923 HED
129434 58903823 29.9788729732243 LED
129506 21161807 43.267699056744696 LED
129506 49650572 52.661790058312306 HED
129550 51402681 36.43477376357571 LED
129654 8332254 25.245727741131798 LED
129677 55886338 84.0223141293324 HED
129701 49353375 62.82569527857983 HED
129777 67372962 217.54042301296047 HED
129855 33565191 289.19895933975044 HED
129878 40814378 52.52863282982603 HED
129915 72252401 30.57065403539898 LED
129933 32926212 128.04879788191772 HED
130033 50579430 130.54455457940998 HED
130034 7858514 48.51416581890924 LED
130092 30964247 67.02734353517883 HED
130126 56068624 309.0388828729205 HED
130172 52824390 40.1332618034605 LED
130214 17569642 365.6156178197994 HED
130220 11599241 3292.81714898566 HED
130561 84363835 269.25963524273334 HED
130588 44934051 144.92181444432475 HED
130597 55489144 138.4326263145851 HED
130639 37366501 455.1350177383467 HED
130684 80612787 27.930055141778162 LED
130743 25740057 24.922327237296233 LED
130797 67186364 49.41182000031732 LED
130801 16289732 53.7776585669379 HED
130807 3160265 47.03429127016165 LED
130912 76035104 145.8475601720868 HED
130932 35022693 208.3638046780712 HED
131096 32665194 28.45443792062689 LED
131134 60192271 37.60305285171356 LED
131145 43542963 30.871259748122142 LED
131165 9342044 49.816014602563534 LED
131321 73241305 3327.2331800506217 HED
131360 57649537 230.73758629757356 HED
131475 34507973 123.8227273544776 HED
131477 57977901 52.18254311117233 HED
131519 27561842 158.86574159420454 HED
