Run,EventID,RA [deg],Dec [deg],RA_50_min [deg],RA_50_max [deg],Dec_50_min [deg],Dec_50_max [deg],RA_90_min [deg],RA_90_max [deg],Dec_90_min [deg],Dec_90_max [deg],Contour Area (50%) [sqdeg],Contour Area (90%) [sqdeg]
123620,47444787,192.70,-2.54,0.60,0.82,0.43,0.38,0.60,0.82,0.43,0.38,0.8704317393397862,3.0854592990682623
123662,27529428,38.12,73.50,2.55,2.87,1.60,1.22,2.55,2.87,1.60,1.22,3.2923699315175705,11.604064672390233
123751,34239163,345.10,1.64,0.34,0.39,0.24,0.24,0.34,0.39,0.24,0.24,0.2522295828453953,0.8654397798450595
123762,72626160,292.63,33.24,0.35,0.25,0.24,0.26,0.35,0.25,0.24,0.26,0.19724596081546233,0.6779796659325165
123867,11659459,337.37,0.60,0.43,0.21,0.49,0.45,0.43,0.21,0.49,0.45,0.42019753320927394,1.334448706318198
123986,63557286,139.39,37.59,0.42,0.45,0.33,0.33,0.42,0.45,0.33,0.33,0.3602335243677386,1.2202847457079928
123986,77999595,220.86,-86.02,2.87,2.43,0.19,0.22,2.87,2.43,0.19,0.22,0.11764396798608806,0.39845162881553026
124136,15174527,349.10,-15.37,0.61,0.52,0.50,0.45,0.61,0.52,0.50,0.45,0.7911699758005141,2.635317205747684
124221,76481548,203.12,13.82,0.35,0.37,0.31,0.39,0.35,0.37,0.31,0.39,0.38480519296851123,1.3521871123432316
124296,49827757,123.84,32.31,0.95,0.83,0.43,0.40,0.95,0.83,0.43,0.40,0.9454895872620006,3.2890433109164205
124340,19400842,308.76,38.63,0.87,0.88,0.45,0.57,0.87,0.88,0.45,0.57,1.0317789739625096,3.617100537230315
124463,35466777,225.86,50.97,0.65,0.59,0.47,0.44,0.65,0.59,0.47,0.44,0.5517271088412935,1.8905974865804582
124547,66087371,28.32,84.70,21.56,26.41,1.73,1.69,21.56,26.41,1.73,1.69,11.173949281813954,40.10853913136913
124569,22040903,146.07,16.72,0.41,0.40,0.46,0.43,0.41,0.40,0.46,0.43,0.5395433887521642,1.8415341622260228
124643,5182926,9.05,18.17,0.66,0.59,0.48,0.48,0.66,0.59,0.48,0.48,0.8724239737577826,2.9526431546361342
124693,33063779,161.22,45.19,0.81,0.83,0.93,0.91,0.81,0.83,0.93,0.91,1.661235193877148,5.694336712813279
124829,42577032,9.76,7.48,0.28,0.25,0.26,0.29,0.28,0.25,0.26,0.29,0.22435618282212505,0.7234025961354985
124852,74171655,105.25,1.27,1.18,0.76,0.32,0.30,1.18,0.76,0.32,0.30,0.9189629867418235,3.0115290125914163
124861,32863663,110.39,11.15,0.20,0.23,0.10,0.13,0.20,0.23,0.10,0.13,0.07390525969610305,0.2604924599936439
124994,15096469,157.80,54.92,1.11,1.17,0.87,0.83,1.11,1.17,0.87,0.83,1.7434106608020625,5.890354870156542
125001,73159253,26.89,2.31,0.55,0.81,0.39,0.45,0.55,0.81,0.39,0.45,0.8550766034008879,2.998724889461674
125011,43302321,242.23,14.59,0.29,0.36,0.34,0.32,0.29,0.36,0.34,0.32,0.32491059265443484,1.1086590433105097
125046,64570437,1.05,15.64,0.26,0.31,0.27,0.31,0.26,0.31,0.27,0.31,0.2434223540368748,0.8145470273934365
125071,31397276,98.83,-31.65,1.54,1.59,1.33,1.66,1.54,1.59,1.33,1.66,6.027725893340581,20.01704927003656
125205,19617837,272.15,1.42,0.32,0.27,0.30,0.30,0.32,0.27,0.30,0.30,0.27439759865231944,0.9042972476416912
125338,65606123,169.37,-1.75,0.31,0.28,0.28,0.24,0.31,0.28,0.28,0.24,0.2384895184809624,0.7863485161676974
125349,12316485,50.67,-0.67,1.13,1.04,0.44,0.34,1.13,1.04,0.44,0.34,1.2920210724911212,4.2213983412422
125422,26630854,66.01,4.63,1.23,1.28,0.73,0.84,1.23,1.28,0.73,0.84,3.1066528768716566,9.863315517051936
125544,54236696,253.87,6.43,0.28,0.33,0.22,0.21,0.28,0.33,0.22,0.21,0.20065604533314707,0.6934807329819482
125558,19184163,221.57,27.32,0.39,0.37,0.33,0.32,0.39,0.37,0.33,0.32,0.3445075776413691,1.1259305501304608
125693,21174828,246.84,17.27,0.27,0.28,0.30,0.25,0.27,0.28,0.30,0.25,0.2274698556891363,0.763730998210803
125709,6405911,318.16,1.57,0.31,0.30,0.27,0.28,0.31,0.30,0.27,0.28,0.2612798596928865,0.9056990349413201
125757,12938244,179.38,-2.05,0.23,0.29,0.28,0.28,0.23,0.29,0.28,0.28,0.22837587151732683,0.781400224083341
125796,16042897,318.34,3.10,0.24,0.30,0.26,0.26,0.24,0.30,0.26,0.26,0.22310592337349944,0.757880705823558
125800,83097666,271.32,29.36,0.65,0.50,0.59,0.76,0.65,0.50,0.59,0.76,1.0068493909928493,3.2955214673755426
125929,11025256,152.01,4.03,0.18,0.60,0.27,0.24,0.18,0.60,0.27,0.24,0.3122075613699864,0.9863379388420678
125934,55750717,287.05,6.47,0.28,0.24,0.24,0.28,0.28,0.24,0.24,0.28,0.20782434017057008,0.701035862277811
125940,7449833,96.11,14.25,0.23,0.28,0.26,0.25,0.23,0.28,0.26,0.25,0.19464379850428956,0.6663056590193234
125968,61389842,100.42,4.41,0.49,0.47,0.30,0.34,0.49,0.47,0.30,0.34,0.4749778023289015,1.618119729031698
125973,80686964,356.84,8.50,1.64,0.95,0.72,0.97,1.64,0.95,0.72,0.97,3.2882013617740835,10.607730979563573
126082,40384770,236.95,55.06,0.80,0.78,0.82,0.74,0.80,0.78,0.82,0.74,1.1063881530215594,3.8185193472708914
126148,74589372,127.13,-3.58,0.45,0.43,0.53,0.52,0.45,0.43,0.53,0.52,0.7060806190227975,2.1649900337172063
126308,20883844,29.88,15.52,0.37,0.40,0.38,0.30,0.37,0.40,0.38,0.30,0.38005992521106446,1.2664652531613119
126370,61611641,92.20,12.83,0.21,0.28,0.31,0.28,0.21,0.28,0.31,0.28,0.22031268182161848,0.7031180497185302
126405,50771014,138.87,-1.87,0.46,0.30,0.29,0.28,0.46,0.30,0.29,0.28,0.3262025077978808,1.1333525670652789
126423,50123696,333.54,9.48,0.25,0.31,0.30,0.29,0.25,0.31,0.30,0.29,0.2579776722646188,0.865883602951386
126456,1581608,50.10,-0.07,0.30,0.48,0.45,0.31,0.30,0.48,0.45,0.31,0.37729587139644005,1.2927944354332397
126456,35956042,245.61,0.30,0.23,0.29,0.28,0.29,0.23,0.29,0.28,0.29,0.23213997734428773,0.8041828233510858
126514,73786337,72.95,0.82,0.38,0.40,0.31,0.36,0.38,0.40,0.31,0.36,0.40546871880221275,1.3732693891175343
126515,20091930,306.96,18.60,0.52,0.77,0.37,0.40,0.52,0.77,0.37,0.40,0.7131779017611439,2.258917101298788
126620,19175993,325.50,26.44,0.55,0.40,0.47,0.51,0.55,0.40,0.47,0.51,0.5988734055894551,2.0015563629390583
#126703,23477554,221.92,-17.23,0.13,0.12,0.13,0.11,0.13,0.12,0.13,0.11,0.043701027740148425,0.15891696224048996
126717,29833358,318.74,31.65,0.52,0.52,0.33,0.30,0.52,0.52,0.33,0.30,0.4336133877687548,1.4687783938142303
126718,53509959,328.80,5.94,0.31,0.26,0.28,0.25,0.31,0.26,0.28,0.25,0.23012916105323594,0.7854473902785307
126769,62990844,325.55,-2.20,0.32,0.28,0.30,0.28,0.32,0.28,0.30,0.28,0.2730591468859271,0.9294392429797479
126798,67205547,54.45,33.69,0.23,0.24,0.31,0.30,0.23,0.24,0.31,0.30,0.1867952386243501,0.627428257565758
126812,38566267,133.59,27.36,0.39,0.33,0.30,0.28,0.39,0.33,0.30,0.28,0.2787096368858097,0.9342995005544802
126848,8902133,130.30,30.52,0.32,0.30,0.32,0.30,0.32,0.30,0.32,0.30,0.2587032001624606,0.8744128926120617
126860,17477746,48.78,-2.99,0.29,0.31,0.26,0.30,0.29,0.31,0.26,0.30,0.25954789927491695,0.8887313121297205
126863,14025085,280.46,30.39,0.53,0.51,0.38,0.47,0.53,0.51,0.38,0.47,0.5919985163694078,1.9786539958388603
126878,30560694,103.54,3.55,0.21,0.34,0.21,0.26,0.21,0.34,0.21,0.26,0.19844634995007138,0.6096572018536136
126911,6416344,193.93,-4.48,0.50,0.43,0.44,0.45,0.50,0.43,0.44,0.45,0.6400217551200452,2.0921638688967263
126976,9961785,179.73,51.79,0.67,0.78,0.51,0.61,0.67,0.78,0.51,0.61,0.7470456701102428,2.4408859382788552
126989,59479399,197.75,19.75,0.79,0.73,0.76,0.64,0.79,0.73,0.76,0.64,1.517135120848852,5.048153217402228
127112,69211097,75.32,12.44,0.45,0.39,0.55,0.62,0.45,0.39,0.55,0.62,0.7511385454629086,2.6310990685871203
127154,9907321,261.83,-2.20,0.27,0.22,0.20,0.18,0.27,0.22,0.20,0.18,0.14784066571955182,0.4621741835103254
127357,17650073,78.79,5.60,0.38,0.40,0.44,0.55,0.38,0.40,0.44,0.55,0.6031976293213471,1.884361955528119
127495,54505431,263.06,-15.44,0.35,0.28,0.31,0.31,0.35,0.28,0.31,0.31,0.2983794007778836,1.0289593964628987
127603,48070937,311.34,60.48,0.84,0.82,0.42,0.43,0.84,0.82,0.42,0.43,0.4946113463715371,1.6590407453793645
127650,18431575,92.86,10.66,0.40,0.40,0.32,0.31,0.40,0.40,0.32,0.31,0.38348560072295085,1.3535382790680468
127742,55820225,151.17,15.75,0.24,0.24,0.25,0.32,0.24,0.24,0.25,0.32,0.20320104385407178,0.7114185308866402
127790,45902607,235.20,-4.14,0.26,0.27,0.27,0.26,0.26,0.27,0.27,0.26,0.22122025793261055,0.7354661695250998
127853,67093193,240.34,9.22,0.14,0.15,0.12,0.14,0.14,0.15,0.12,0.14,0.056229220651358304,0.21934727607022364
127910,25056152,352.97,2.43,0.45,0.31,0.33,0.36,0.45,0.31,0.33,0.36,0.3957757981607552,1.3329871399156867
128034,69069846,18.02,4.03,0.31,0.34,0.49,0.47,0.31,0.34,0.49,0.47,0.4847253756462812,1.6635982451301734
128065,17929326,214.80,39.74,0.46,0.50,0.50,0.50,0.46,0.50,0.50,0.50,0.5616687548278249,1.907546274189996
128067,65335330,303.75,12.87,0.28,0.26,0.31,0.28,0.28,0.26,0.31,0.28,0.24311589177121365,0.8116064661795301
128209,54386016,351.56,0.93,0.28,0.25,0.26,0.30,0.28,0.25,0.26,0.30,0.2262560563169898,0.7478900951511623
128253,44251618,64.60,27.45,0.51,2.42,0.51,0.56,0.51,2.42,0.51,0.56,1.5156735622985422,4.763510192121547
128278,49218472,112.76,14.82,0.30,0.35,0.27,0.30,0.30,0.35,0.27,0.30,0.27660820803197045,0.8979780549764455
128290,6888376,214.80,-0.82,0.19,0.19,0.22,0.20,0.19,0.19,0.22,0.20,0.12253409636333111,0.4274422265202856
128292,15195696,312.93,20.26,0.35,0.31,0.46,0.38,0.35,0.31,0.46,0.38,0.40178592828813636,1.3662411919132658
128311,26552458,122.43,-0.63,0.38,0.19,0.25,0.18,0.38,0.19,0.25,0.18,0.17772315700625385,0.5461961965959348
